_id,name,code,docstring,human_label,one_line_summary,function_behavior,function_signature,examples,precond_postcond
6367667f1a6d9265ec01745d,decodePath,"public static List<PathSegmentImpl> decodePath(URI u,boolean decode){
  String rawPath=u.getRawPath();
  if (rawPath != null && rawPath.length() > 0 && rawPath.charAt(0) == '/') {
    rawPath=rawPath.substring(1);
  }
  return decodePath(rawPath,decode);
}
","/** 
 * Decode the path component of a URI as path segments.
 * @param u the URI. If the path component is an absolute path componentthen the leading '/' is ignored and is not considered a delimiator of a path segment.
 * @param decode true if the path segments of the path componentshould be in decoded form.
 * @return the list of path segments.
 */
",Decode the raw path.,Trims leading slash from URI's raw path and decodes it if needed.,"The function extracts the raw path from the given URI, removes the initial slash if present, and then calls another method to decode the path into a list of PathSegmentImpl objects, depending on the boolean flag.",The function takes a URI `u` and a boolean `decode` as parameters and returns a `List<PathSegmentImpl>`.,"- **Typical usage:** 
     Input: `decodePath(new URI(""http://example.com:/path/to/resource""), true)`
     Output: Decoded path segments of ""path/to/resource"".
   - **Boundary edge case:** 
     Input: `decodePath(new URI(""http://example.com:/""), false)`
     Output: Empty list, as there's no path segment after the slash.
   - **Special or unusual case:** 
     Input: `decodePath(new URI(""http://example.com:""), true)`
     Output: Empty list, as there's no raw path to decode.","- Preconditions: The input URI must be well-formed and non-null.
   - Postconditions: Returns a list of path segments, with the initial slash removed and optionally decoded elements.
---
```"
636766f11a6d9265ec017651,nullToEmpty,"public static Character[] nullToEmpty(final Character[] array){
  if (array == null || array.length == 0) {
    return ArrayUtils.EMPTY_CHARACTER_OBJECT_ARRAY;
  }
  return array;
}
","/** 
 * <p>Defensive programming technique to change a <code>null</code> reference to an empty one.</p> <p>This method returns an empty array for a <code>null</code> input array.</p> <p>As a memory optimizing technique an empty array passed in will be overridden with the empty <code>public static</code> references in this class.</p>
 * @param array  the array to check for <code>null</code> or empty
 * @return the same array, <code>public static</code> empty array if <code>null</code> or empty input
 * @since 2.5
 */
","If array is null or its length is 0, convert array to EMPTY_CHARACTER_OBJECT_ARRAY. Otherwise, return array itself.",Converts null or empty Character arrays to an empty array constant.,"The function checks if the input Character array is null or has zero length; if either condition is true, it returns a predefined empty Character array constant; otherwise, it returns the original array.",The function takes a final Character array as an input parameter and returns a Character array.,"- **Typical usage**
     - Input: ['a', 'b', 'c']
     - Output: ['a', 'b', 'c']
   - **Boundary edge case**
     - Input: null
     - Output: EMPTY_CHARACTER_OBJECT_ARRAY
   - **Special or unusual case**
     - Input: []
     - Output: EMPTY_CHARACTER_OBJECT_ARRAY","- Preconditions: The input is expected to be a Character array or null.
   - Postconditions: Returns a non-null Character array, either the input array itself or an empty array constant if the input is null or empty.
---
```"
636767821a6d9265ec0183ab,hasThrown,"public boolean hasThrown(){
  Throwable thrown=getThrown();
  if (thrown == null) {
    return false;
  }
  String thrownString=thrown.toString();
  return thrownString != null && thrownString.trim().length() != 0;
}
","/** 
 * @return true if getThrown().toString() is a non-empty string.
 */
",Check whether there is a thrown,Checks if a Throwable object has been captured.,"The function retrieves a Throwable object using getThrown() and returns false if it is null. If the Throwable is non-null, it converts it to a string and checks if the resulting string is not empty after trimming; if so, it returns true.",The function takes no parameters and returns a boolean value.,"- Typical usage: If getThrown() returns a non-null Throwable object with a non-empty string representation, the function returns true.
   - Boundary edge case: If getThrown() returns null, the function returns false.
   - Special or unusual case: If getThrown() returns a Throwable with an empty description but non-null, the function returns false.","- Preconditions: It assumes the existence of a getThrown() method that returns a Throwable object or null.
   - Postconditions: Returns true only if a non-null Throwable with a non-empty description is returned by getThrown().
---
```"
636767831a6d9265ec0183c9,peek,"public static String peek(){
  Stack stack=getCurrentStack();
  if (stack != null && !stack.isEmpty())   return ((DiagnosticContext)stack.peek()).message;
 else   return """";
}
","/** 
 * Looks at the last diagnostic context at the top of this NDC without removing it. <p>The returned value is the value that was pushed last. If no context is available, then the empty string """" is returned.
 * @return String The innermost diagnostic context.
 */
",Return the value at the top of the stack,Retrieves the message from the top DiagnosticContext on the stack if available.,"The function obtains the current stack, checks if it is non-empty, and returns the message from the DiagnosticContext object at the top without modifying the stack. If the stack is null or empty, it returns an empty string.",This function takes no parameters and returns a String.,"- Typical usage: If the stack contains a DiagnosticContext with the message ""Hello"", `peek()` returns ""Hello"".
   - Boundary edge case: If the stack is empty, `peek()` returns """".
   - Special or unusual case: If the stack is null, `peek()` returns """".","- Preconditions: `getCurrentStack()` must return a valid Stack object or null. The stack may contain instances of `DiagnosticContext`.
   - Postconditions: The function returns a string message from the top of the stack if available, otherwise it returns an empty string.
---
```"
636767de1a6d9265ec01871c,valueAccumulation,"public void valueAccumulation(String key,Long value){
  Long element=data.get(key);
  if (element == null) {
    element=value;
  }
 else {
    element+=value;
  }
  data.put(key,element);
}
","/** 
 * Accumulate the value with existing value in the same given key.
 */
",Add the value to the original value of the key.,Accumulates and updates a Long value in a map by key.,"The function retrieves a value associated with a given key from a map called `data`. If no value is found, it initializes the value for that key; otherwise, it adds the provided value to the existing value in the map. The updated or initialized value is then stored back in the map with the same key.",The function takes a `String` key and a `Long` value as parameters and has a void return type; it updates a map named `data`.,"- Typical usage: 
     - Input: (""apple"", 10L) - Initial: {""apple"": 5L} 
     - Output: {""apple"": 15L}
   - Boundary edge case:
     - Input: (""banana"", 0L) - Initial: {""banana"": null}
     - Output: {""banana"": 0L}
   - Special or unusual case:
     - Input: (""cherry"", -5L) - Initial: {""cherry"": 3L}
     - Output: {""cherry"": -2L}","- Preconditions: `data` is a map that holds keys as `String` and values as `Long`. 
   - Postconditions: The map is updated to include the new or accumulated value for the provided key.
---
```"
6367677e1a6d9265ec01832e,exists,"public Logger exists(String name){
  Object o=ht.get(new CategoryKey(name));
  if (o instanceof Logger) {
    return (Logger)o;
  }
 else {
    return null;
  }
}
","/** 
 * Check if the named logger exists in the hierarchy. If so return its reference, otherwise returns <code>null</code>.
 * @param name The name of the logger to search for.
 */
","Check if the named logger exists. If so return its reference, otherwise returns null.",Retrieves a Logger object from a hashtable if it exists.,"The function checks the hashtable for an entry associated with a `CategoryKey` created from the given string `name`. If the object retrieved is an instance of `Logger`, it returns that object; otherwise, it returns `null`.",`public Logger exists(String name)` takes a single `String` parameter and returns a `Logger` object or `null`.,"- A **typical usage**: If called with `exists(""mainLogger"")` and a `Logger` object is stored in `ht` with the key `new CategoryKey(""mainLogger"")`, it returns that `Logger`.
   - A **boundary edge case**: If called with `exists("""")` and `ht` contains a `Logger` with the key `new CategoryKey("""")`, it returns that `Logger`.
   - A **special or unusual case**: If called with `exists(""nonExistentLogger"")` and there is no associated `Logger` object in `ht`, it returns `null`.","- Preconditions: The hashtable `ht` and class `CategoryKey` must be properly defined and initialized.
   - Postconditions: Returns either a `Logger` object if the key is found and the object is a `Logger`, or `null` if the key doesn't exist or the object is not a `Logger`.
---
```"
6367670a1a6d9265ec0179e7,lookup,"public Converter lookup(final Class<?> clazz){
  Converter conv=(Converter)this.converters.get(clazz);
  if (conv != null) {
    return conv;
  }
  for (  Object regType : this.converters.keySet()) {
    if (((Class<?>)regType).isAssignableFrom(clazz)) {
      return (Converter)this.converters.get(regType);
    }
  }
  return null;
}
","/** 
 * Look up and return any registered  {@link Converter} for the specifieddestination class; if there is no registered Converter, return <code>null</code>.
 * @param clazz Class for which to return a registered Converter
 * @return The registered {@link Converter} or <code>null</code> if not found
 */
","Check whether the specified converter exists in converters. If yes, converter is returned. If no, null is returned.",Function retrieves the best matching converter for the given class.,"The function looks up and returns a converter object for a given class type; first, it directly checks if there's an exact converter for the class, and if not, it searches for one that can handle subclasses or implementers.",Function accepts a Class<?> as a parameter and returns a Converter object or null.,"- Typical usage: Given Class<String>, returns a StringConverter if registered.
   - Boundary edge case: Given a class with no converters or assignable converters registered, it returns null.
   - Special case: Given Class<Number> where IntegerConverter is registered, it returns IntegerConverter if Integer is assignable.","The converters map is populated with class-to-converter mappings; expected output is a corresponding Converter object or null if no suitable match is found. 
---
```"
636767a41a6d9265ec018572,readRawVarint64,"public long readRawVarint64() throws IOException {
  int shift=0;
  long result=0;
  while (shift < 64) {
    final byte b=readRawByte();
    result|=(long)(b & 0x7F) << shift;
    if ((b & 0x80) == 0) {
      return result;
    }
    shift+=7;
  }
  throw ProtobufException.malformedVarint();
}
","/** 
 * Read a raw Varint from the stream.
 */
",Read raw varint,Decodes a raw Varint64 encoded input from a byte stream.,"The function reads bytes from a stream, performing bitwise operations to decode a 64-bit integer value from Varint64 format, which is used to efficiently encode integer values by using one or more bytes. It processes each byte, checking if the highest bit is set (indicating more bytes), and forms the integer by assembling bits from bytes with shifts and bitwise ORs. The function exits when a byte without the highest bit set is encountered. If the shift exceeds 64 bits, it throws an exception.","The function takes no parameters, except implicitly through its operation on a stream, and returns a `long`.","- Typical Usage: Given a byte stream [0x96, 0x01], the function returns 150.
   - Boundary Edge Case: For the smallest value encoded [0x00], it returns 0.
   - Special Case: If input is malformed such that more than 64 bits would be necessary, it throws `ProtobufException`.","- Preconditions: Input bytes should be in Varint64 format within a byte stream.
   - Postconditions: Returns the decoded 64-bit integer or throws an exception if malformed.
---
```"
636767021a6d9265ec0178bb,nullToEmpty,"public static Double[] nullToEmpty(final Double[] array){
  if (array == null || array.length == 0) {
    return ArrayUtils.EMPTY_DOUBLE_OBJECT_ARRAY;
  }
  return array;
}
","/** 
 * <p>Defensive programming technique to change a <code>null</code> reference to an empty one.</p> <p>This method returns an empty array for a <code>null</code> input array.</p> <p>As a memory optimizing technique an empty array passed in will be overridden with the empty <code>public static</code> references in this class.</p>
 * @param array  the array to check for <code>null</code> or empty
 * @return the same array, <code>public static</code> empty array if <code>null</code> or empty input
 * @since 2.5
 */
","If the double type array is null or its length is 0, convert array to EMPTY_CHARACTER_OBJECT_ARRAY. Otherwise, return array itself.",Converts null or empty Double arrays to an empty array constant.,"The function checks if the input array is null or has zero length; if so, it returns a predefined empty Double array constant. Otherwise, it returns the original array unchanged.",The function takes an array of Double objects as input and returns an array of Double objects.,"- **Typical usage:** `nullToEmpty(new Double[]{1.0, 2.0})` returns `[1.0, 2.0]`.
       - **Boundary edge case:** `nullToEmpty(null)` returns `ArrayUtils.EMPTY_DOUBLE_OBJECT_ARRAY`.
       - **Special case:** `nullToEmpty(new Double[]{})` returns `ArrayUtils.EMPTY_DOUBLE_OBJECT_ARRAY`.","- Preconditions: The input can be a null reference or a valid Double array.
       - Postconditions: The function returns a predefined constant empty array if the input is null or empty; otherwise, it returns the same array.
    ---"
636767021a6d9265ec0178b2,pop,"private void pop(final String descriptor){
  char firstDescriptorChar=descriptor.charAt(0);
  if (firstDescriptorChar == '(') {
    pop((Type.getArgumentsAndReturnSizes(descriptor) >> 2) - 1);
  }
 else   if (firstDescriptorChar == 'J' || firstDescriptorChar == 'D') {
    pop(2);
  }
 else {
    pop(1);
  }
}
","/** 
 * Pops as many abstract types from the output frame stack as described by the given descriptor.
 * @param descriptor a type or method descriptor (in which case its argument types are popped).
 */
",Pop the various value according to the first character of the descriptor.,The function pops a specific number of elements from a stack based on a descriptor's type.,"The function analyzes the first character of a descriptor string to determine how many elements to pop from a stack: it pops a calculated number for method signatures, two for long/double, and one for other types.",The function takes a single `String` argument called `descriptor` and returns void.,"- Typical usage: Input: `pop(""(I)V"")`, Output: Pop 1 element after analyzing method signature.
   - Boundary edge case: Input: `pop(""I"")`, Output: Pop 1 element for basic integer type.
   - Special or unusual case: Input: `pop(""D"")`, Output: Pop 2 elements for double type.","The `descriptor` is expected to be a valid type descriptor string from a Java method or type signature. The function modifies the state of a stack by removing/popping elements but does not return any value.
---"
636766f91a6d9265ec01776e,write,"@Override public void write(final byte b[],final int off,final int len) throws IOException {
  if (off < 0 || off > b.length || len < 0 || off + len > b.length || off + len < 0) {
    throw new IndexOutOfBoundsException();
  }
 else   if (len == 0) {
    return;
  }
  if (this.count + len > this.buf.length) {
    this.encodePendingBytes(false);
  }
  System.arraycopy(b,off,this.buf,this.count,len);
  this.count+=len;
}
","/** 
 * Writes <code>len</code> bytes from the specified byte array starting at offset <code>off</code> to this byte array output stream.
 * @param b   the data.
 * @param off the start offset in the data.
 * @param len the number of bytes to write.
 */
",Write bytes of length len from a byte array,"Writes a specified byte array segment to a buffer, possibly encoding pending data.","The function checks for valid input indices, writes a specified segment of the byte array `b` (from offset `off`, length `len`) into the internal buffer `buf`, encodes pending bytes if the buffer overflows, and updates a counter `count`. It throws an exception on invalid indices or returns instantly if length is zero.","`write(byte[] b, int off, int len) throws IOException` - Accepts a byte array, an offset, and a length; has no return type.","- Typical usage: `write(new byte[]{1,2,3,4}, 1, 2)` writes `2,3` to `buf`.
   - Boundary edge case: `write(new byte[]{5,6}, 0, 2)` writes `5,6` without issues.
   - Special or unusual case: `write(new byte[]{}, 0, 0)` immediately returns without modifying `buf`.","Preconditions: The offset and length must be within the byte array bounds. Postconditions: The buffer reflects the new data up to the specified length, and `count` is increased. IndexOutOfBoundsException is thrown for invalid inputs.  

---"
636767551a6d9265ec017f3f,swap,"public static final <V>void swap(V[] arr,int i,int j){
  V tmp=arr[j];
  arr[j]=arr[i];
  arr[i]=tmp;
}
","/** 
 * Swaps the two elements at the specified indices in the given array.
 * @param < V > the type of elements in the array
 * @param arr the array
 * @param i the index of the first element
 * @param j the index of the second element
 */
",Swap values at indexes i and j in arr,Swaps two elements in an array.,The function swaps the elements at indices `i` and `j` within the given array `arr` using a temporary variable to hold one of the values during the swap process.,"The function `swap` is a static generic method that takes an array of type `V`, and two integer indices `i` and `j`, and returns no value (void).","- Typical usage:
     - Input: arr = [1, 2, 3, 4, 5], i = 1, j = 3
     - Output: arr = [1, 4, 3, 2, 5]
   - Boundary edge case:
     - Input: arr = [10, 9], i = 0, j = 1
     - Output: arr = [9, 10]
   - Special or unusual case:
     - Input: arr = [7], i = 0, j = 0
     - Output: arr = [7]","- Preconditions: 
     - `arr` is a non-null array of objects (type `V[]`).
     - `i` and `j` are valid indices within the bounds of the array.
   - Postconditions: 
     - The elements at `i` and `j` are swapped; the array is otherwise unchanged.
---
```"
636766ae1a6d9265ec0175dc,isPartialContentResponse,"public Boolean isPartialContentResponse(){
  Integer limit=drc.getLimit() == null ? 0 : drc.getLimit();
  Long count=drc.getCount() == null ? 0 : drc.getCount();
  return !((limit + 1) >= count);
}
","/** 
 * Check if the actual response is a Partial Content (HTTP 206 code)
 * @return is partial content or not
 */
",Determine whether the actual response is a Partial Content,Check if the content response is not complete based on the limit and count values.,"The function retrieves 'limit' and 'count' values from a data source; it initializes these to zero if null, and returns true if the sum of 'limit' plus one is less than 'count', indicating the content is partial.",(No parameters); returns Boolean.,"- Typical usage: If drc.getLimit() returns 4 and drc.getCount() returns 10, output is true.
   - Boundary edge case: If drc.getLimit() returns 9 and drc.getCount() returns 10, output is false.
   - Special case: If drc.getLimit() returns null and drc.getCount() returns null, output is false.","Preconditions: drc must be initialized and have the methods getLimit() and getCount().
   Postconditions: Returns true if limit + 1 < count; false otherwise.
---
```"
636766f01a6d9265ec01762e,isEmpty,"public static boolean isEmpty(final double[] array){
  return array == null || array.length == 0;
}
","/** 
 * <p>Checks if an array of primitive doubles is empty or <code>null</code>.</p>
 * @param array  the array to test
 * @return <code>true</code> if the array is empty or <code>null</code>
 * @since 2.1
 */
",Check whether the array of the double type is empty.,Check if a double array is null or empty.,"The function returns true if the given double array is either null or has no elements; otherwise, it returns false.","The function takes a single parameter, a double array `array`, and returns a boolean value.","- Typical usage: `isEmpty(new double[]{1.0, 2.0, 3.0})` returns `false`.
   - Boundary edge case: `isEmpty(new double[]{})` returns `true`.
   - Special or unusual case: `isEmpty(null)` returns `true`.","- Preconditions: The parameter can be a null reference or a double array.
   - Postconditions: The function outputs a boolean indicating whether the array is null or has zero length.
---
```"
6367667e1a6d9265ec01743a,lastWriteTimeStampInMilliseconds,"public long lastWriteTimeStampInMilliseconds(){
  return lastWrite == -1 ? System.currentTimeMillis() : lastWrite;
}
","/** 
 * The last time, in milliseconds, a write operation occurred.
 * @return this
 */
","Check whether lastwrite is - 1. If yes, return - 1. Otherwise, return System.currentTimeMillis().",Returns the last write timestamp or the current time if uninitialized.,"The function checks if the instance variable `lastWrite` is -1, indicating no previous writes, and returns the current system time in milliseconds; otherwise, it returns the `lastWrite` value.",No parameters; returns a long integer.,"- Typical usage: If `lastWrite = 1625217600000`, `lastWriteTimeStampInMilliseconds()` returns `1625217600000`.
   - Boundary edge case: If `lastWrite = -1`, `lastWriteTimeStampInMilliseconds()` might return `1657872897000` (current time).
   - Special/Unusual case: If `lastWrite` is very old (e.g., `0`), `lastWriteTimeStampInMilliseconds()` returns `0`.","- Preconditions: `lastWrite` should be defined as a `long`.
   - Postconditions: Returns a long representing time in milliseconds.
---
```"
636766821a6d9265ec0174c9,classPath,"private static File[] classPath(){
  final String[] fileNames=System.getProperty(""java.class.path"").split(File.pathSeparator);
  final File[] files=new File[fileNames.length];
  for (int i=0; i < files.length; ++i) {
    files[i]=new File(fileNames[i]);
  }
  return files;
}
","/** 
 * Returns the class path of the current JVM instance as an array of  {@link File} objects.
 */
",Creates an array of the file type based on all file names in java.class.path and returns the array.,Converts Java classpath to an array of File objects.,"The function retrieves the Java classpath, splits it into individual paths using the system's path separator, and creates a File object for each path, returning an array of these File objects.",The function takes no parameters and returns an array of File objects.,"- **Typical usage:** If the classpath is ""lib/a.jar:lib/b.jar"", the function returns [File(""lib/a.jar""), File(""lib/b.jar"")].
   - **Boundary edge case:** If the classpath is empty, the function returns an empty array.
   - **Special or unusual case:** If the classpath contains a non-existent path ""lib/z.jar"", a File object for the non-existent path ""lib/z.jar"" is still created and returned in the array.","- Preconditions: The function assumes that it is running in an environment where the Java property ""java.class.path"" is set.
   - Postconditions: The function returns an array of File objects representing each path in the classpath, with no validation of whether the paths exist or are accessible.
---
```"
636767041a6d9265ec0178f8,copyStrings,"private static String[] copyStrings(final String[] src){
  String[] dst=new String[src.length];
  for (int i=0; i < src.length; ++i) {
    dst[i]=src[i].toLowerCase();
  }
  return dst;
}
","/** 
 * This method creates a copy of the provided array, and ensures that all the strings in the newly created array contain only lower-case letters. <p> Using this method to copy string arrays means that changes to the src array do not modify the dst array.
 */
",Copy the source string and transfer each character to lowecase.,Converts all strings in the input array to lowercase.,"The function iterates over each string in the input array `src`, converts each string to lowercase, and stores it in a new array `dst` of the same length, which is then returned.",Takes a single array of strings (`String[] src`) as input and returns a new array of lowercase strings (`String[]`).,"- Typical usage: 
     Input: `[""Hello"", ""WORLD""]` 
     Output: `[""hello"", ""world""]`
   - Boundary edge case: 
     Input: `[]` 
     Output: `[]`
   - Special or unusual case: 
     Input: `[""CoDe"", ""123"", ""!@#""]` 
     Output: `[""code"", ""123"", ""!@#""]`","Preconditions: Assumes `src` is a valid array of strings, and can be empty.
   Postconditions: `dst` is an array of same length as `src` with all elements in lowercase.
---"
636767521a6d9265ec017ecc,splitAlongXAxis,"public static Pair<Box2D,Box2D> splitAlongXAxis(Box2D box){
  double newWidth=box.getWidth() / 2d;
  double height=box.getHeight();
  return Pair.of(Box2D.of(box.getMinX(),box.getMinY(),newWidth,height),Box2D.of(box.getMinX() + newWidth,box.getMinY(),newWidth,height));
}
","/** 
 * Split a box along the x axis into two equal boxes.
 * @param box the box to split
 * @return a pair with the two resulting boxes
 */
",Divide a box into two equal boxes on the x axis.,Splits a Box2D object into two equal-width halves along the X-axis.,"The function `splitAlongXAxis` takes a `Box2D` object, computes the width to be half of the original, and splits it into two new `Box2D` objects that have the same height and half the width, positioned side by side along the X-axis. The first box starts at the original minimum X-coordinate, while the second starts immediately after the first box.","Takes a `Box2D` object as a parameter and returns a `Pair<Box2D, Box2D>`.","- Typical Usage: Given a box with `minX=0, minY=0, width=10, height=5`, returns two boxes: `(Box2D(0, 0, 5, 5), Box2D(5, 0, 5, 5))`.
   - Boundary Edge Case: Given a box with `minX=0, minY=0, width=0, height=5`, returns two identical boxes: `(Box2D(0, 0, 0, 5), Box2D(0, 0, 0, 5))`.
   - Special Case: Given a box with `minX=1, minY=3, width=8, height=2`, returns two boxes: `(Box2D(1, 3, 4, 2), Box2D(5, 3, 4, 2))`.","- Preconditions: The input box is non-null, and its width is a non-negative real number.
   - Postconditions: The result is a pair of boxes with each having half the original width, the same height, and positioned horizontally adjacent.
---
```"
636766a91a6d9265ec0175c1,enlarge,"private void enlarge(final int size){
  int doubleCapacity=2 * data.length;
  int minimalCapacity=length + size;
  byte[] newData=new byte[doubleCapacity > minimalCapacity ? doubleCapacity : minimalCapacity];
  System.arraycopy(data,0,newData,0,length);
  data=newData;
}
","/** 
 * Enlarges this byte vector so that it can receive 'size' more bytes.
 * @param size number of additional bytes that this byte vector should be able to receive.
 */
",Convert the original data array to a longer array.,Resizes the byte array `data` to accommodate additional elements.,"The function `enlarge` calculates a new array size based on the current array's length doubled and the required capacity for a given additional size. It creates a new byte array of the larger calculated size, copies the original array's contents to the new array, and replaces the original array with this larger array.",The function takes an integer `size` as a parameter and returns nothing (void); it modifies the instance variable `data`.,"- **Typical usage:** Given `data` with length 10 and `length` of 7, calling `enlarge(5)` will create a new array with size 20 since 2x10 (20) > 7+5 (12).
   - **Boundary edge case:** If `size` is 0, the function will enlarge the array based on current length conditions, resulting in a new array size depending on the original size logic.
   - **Special or unusual case if relevant:** If `data` is already sufficiently large (e.g., `length + size` is less than `data.length`), the function will still ensure a new array is created with at least double the current array size.","- Preconditions: `data` should be a valid byte array; `length` should represent the current occupied length of `data`.
- Postconditions: The `data` array is replaced with a larger byte array capable of containing `length + size` bytes, maintaining existing elements.
---
```"
6367674a1a6d9265ec017dab,compare,"@Override public int compare(Double o1,Double o2){
  if (Math.abs(o1 - o2) < epsilon) {
    return 0;
  }
 else {
    return Double.compare(o1,o2);
  }
}
","/** 
 * Compares two floating point values. Returns 0 if they are equal, -1 if  {@literal o1 < o2}, 1 otherwise
 * @param o1 the first value
 * @param o2 the second value
 * @return 0 if they are equal, -1 if {@literal o1 < o2}, 1 otherwise
 */
","Compares two values. If the difference between the two values is less than epsilon, 0 is returned. Otherwise, Double.compare is invoked.",Compares two Double values considering a small difference as equal.,"The function compares two Double objects by first checking if their absolute difference is within a small predefined range, epsilon. If they are within this range, they are considered equal, and the function returns 0. Otherwise, it uses the standard Double comparison to determine which is larger, returning -1 or 1 accordingly.","The function takes two Double objects, o1 and o2, and returns an int.","- Typical usage:
     - Input: o1 = 5.0, o2 = 5.0000001, epsilon = 0.000001
     - Output: 0
   - Boundary edge case:
     - Input: o1 = 5.0, o2 = 4.999999, epsilon = 0.000001
     - Output: 1
   - Special or unusual case:
     - Input: o1 = Double.POSITIVE_INFINITY, o2 = Double.POSITIVE_INFINITY, epsilon = 0.000001
     - Output: 0","- Preconditions: Both o1 and o2 are non-null Double objects, and epsilon is a small positive double value defined elsewhere in the class.
   - Postconditions: The function returns 0, -1, or 1 corresponding to whether the values are considered equal, o1 is less than o2, or o1 is greater than o2, respectively.
---
```"
6367672d1a6d9265ec017c78,insert,"public boolean insert(int val){
  if (!map.containsKey(val)) {
    map.put(val,val);
    values.add(val);
    return true;
  }
 else {
    return false;
  }
}
","/** 
 * Inserts a value to the set. Returns true if the set did not already contain the specified element. 
 */
","If the key whose value is val does not exist in the map, add (val, val) to the map and return true. Otherwise, return false.","Inserts a value into a collection, ensuring it's not already present.","The function checks if the given integer value is not already present in a map. If it is not present, it inserts the value into both the map and a list, and returns true. If the value is already present in the map, it does not insert the value and returns false.",The function takes an integer `val` as a parameter and returns a boolean indicating the success of the insertion.,"- Typical usage: 
     - Input: `insert(3)` when `map` is empty
     - Output: `true` 
     - State: `map = {3=3}`, `values = [3]`
   - Boundary edge case: 
     - Input: `insert(3)` when `map = {3=3}`
     - Output: `false`
     - State: `map = {3=3}`, `values = [3]`
   - Special case:
     - Input: `insert(10)` when `map = {}`
     - Output: `true`
     - State: `map = {10=10}`, `values = [10]`","- Preconditions: The `map` and `values` are initialized and available within the function's scope. The `map` must support `containsKey` and `put` methods, while `values` must support `add` method.
   - Postconditions: If `val` is successfully inserted, both `map` and `values` contain the new value; otherwise, they remain unchanged.
---
```"
636766821a6d9265ec0174bf,capitalize,"public static String capitalize(String name){
  if (name == null || name.length() == 0) {
    return name;
  }
  char chars[]=name.toCharArray();
  chars[0]=Character.toUpperCase(chars[0]);
  return new String(chars);
}
","/** 
 * Reverse of Introspector.decapitalize
 */
",Converts a name of the string type to a character array and converts the first letter to an uppercase letter.,Capitalizes the first letter of a given string.,"The function takes a string, checks if it is null or empty, and if not, it converts the first character to uppercase while leaving the rest of the string unchanged.",The function takes a single string parameter `name` and returns a string.,"- Typical usage: Input: ""john"" Output: ""John""
   - Boundary edge case: Input: """" Output: """"
   - Special or unusual case: Input: null Output: null","- Precondition: Input string can be null or any valid string (possibly empty).
   - Postcondition: Output is the same string with the first character capitalized, or unchanged if the input is null or empty.
---
```"
636766f21a6d9265ec017677,isNotTrue,"public static boolean isNotTrue(Boolean bool){
  return !isTrue(bool);
}
","/** 
 * <p>Checks if a <code>Boolean</code> value is <i>not</i> <code>true</code>, handling <code>null</code> by returning <code>true</code>.</p> <pre> BooleanUtils.isNotTrue(Boolean.TRUE)  = false BooleanUtils.isNotTrue(Boolean.FALSE) = true BooleanUtils.isNotTrue(null)          = true </pre>
 * @param bool  the boolean to check, null returns <code>true</code>
 * @return <code>true</code> if the input is null or false
 * @since 2.3
 */
",Check whether the parameter bool is not true.,Determines if a given Boolean value is not true by negating isTrue's result.,"The function isNotTrue calls another function isTrue and returns the negation of its Boolean output, indicating if the input value is not true.",Takes a Boolean object (Boolean bool) and returns a boolean primitive.,"- Typical usage: `isNotTrue(Boolean.TRUE)` returns `false`.
   - Boundary edge case: `isNotTrue(null)` (assuming isTrue handles null appropriately, the behavior follows isTrue implementation).
   - Special or unusual case: `isNotTrue(Boolean.FALSE)` returns `true`.","The function expects a Boolean input, considering null as a valid input; the output strictly follows the negation of isTrue with minimal assumptions of isTrue's behavior.
---
```"
6367674f1a6d9265ec017e74,toString,"public String toString(){
  StringBuilder s=new StringBuilder();
  for (int j=i; j < n; j++)   s.append(vs[j]).append("" "");
  return s.toString();
}
","/** 
 * Returns a textual representation of the queue.
 * @return a textual representation of the queue.
 */
",Convert a value in a vs array to a string,Converts a segment of an array into a space-separated string.,"The function constructs a String by appending elements from the `vs` array starting at index `i` to index `n-1`, with each element followed by a space.",The function is called without parameters and returns a String.,"- Typical usage: If `vs = {""a"", ""b"", ""c"", ""d""}`, `i = 1`, `n = 3`, the output is `""b c ""`.
   - Boundary edge case: If `vs = {""x"", ""y""}`, `i = 0`, `n = 2`, the output is `""x y ""`.
   - Special case: If `vs = {}`, `i = 0`, `n = 0`, the output is `""""`.","- Preconditions: `0 <= i <= n <= vs.length`; `vs` is an array of strings.
   - Postconditions: Returns a single string containing elements from `vs[i]` to `vs[n-1]` separated by spaces, ending with a space if there is at least one element.
---
```"
